Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Sarcastic_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Sarcastic_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
Twitter-RoBERTa-Irony,Textual Accuracy,0.1,10,46,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7326666666666667,0.6422802714744833,0.4624664879356568,0.0009953390004543428,0.09959010171550023,0.8166666666666667
Twitter-RoBERTa-Irony,Textual Accuracy,0.2,20,42,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7356666666666667,0.6438873845871047,0.4631008801624915,-0.0006117741121670628,0.20006578614442588,0.923
Twitter-RoBERTa-Irony,Textual Accuracy,0.2,20,43,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7366666666666667,0.6466801951875756,0.46837146702557203,-0.003404584712637937,0.20014169323414807,0.9266666666666666
Twitter-RoBERTa-Irony,Textual Accuracy,0.2,20,44,0.7353333333333333,0.6432756104749376,0.462059620596206,0.732,0.6387828599771409,0.45528455284552843,0.004492750497796738,0.2000910885076666,0.9226666666666666
Twitter-RoBERTa-Irony,Textual Accuracy,0.2,20,45,0.7353333333333333,0.6432756104749376,0.462059620596206,0.733,0.6412742690347442,0.4598786244099798,0.0020013414401934826,0.20021760032387026,0.9266666666666666
Twitter-RoBERTa-Irony,Textual Accuracy,0.2,20,46,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7326666666666667,0.6416366392129947,0.46102150537634407,0.0016389712619429009,0.19943322706340771,0.918
Twitter-RoBERTa-Irony,Textual Accuracy,0.3,30,42,0.7353333333333333,0.6432756104749376,0.462059620596206,0.734,0.6421310691222196,0.4608108108108108,0.0011445413527180204,0.30046556348362935,0.961
Twitter-RoBERTa-Irony,Textual Accuracy,0.3,30,43,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7306666666666667,0.6408888888888888,0.4613333333333333,0.002386721586048801,0.30013663276149993,0.9563333333333334
Twitter-RoBERTa-Irony,Textual Accuracy,0.3,30,44,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7376666666666667,0.6491280736031515,0.47287340924313465,-0.005852463128213858,0.3004149587571479,0.9586666666666667
Twitter-RoBERTa-Irony,Textual Accuracy,0.3,30,45,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7353333333333333,0.6439248983496771,0.4635135135135135,-0.0006492878747395014,0.2992763524113152,0.9546666666666667
Twitter-RoBERTa-Irony,Textual Accuracy,0.3,30,46,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7323333333333333,0.6390673284015357,0.45559322033898303,0.004208282073401959,0.3002884469409443,0.9566666666666667
Twitter-RoBERTa-Irony,Completeness,0.1,10,42,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7396666666666667,0.6423323957852316,0.45574912891986064,0.0009432146897060401,0.10071999367038531,0.8826666666666667
Twitter-RoBERTa-Irony,Completeness,0.1,10,43,0.7353333333333333,0.6432756104749376,0.462059620596206,0.735,0.6316647256350076,0.4365698086463501,0.011610884839930002,0.10032439275259118,0.8773333333333333
Twitter-RoBERTa-Irony,Completeness,0.1,10,44,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7333333333333333,0.6355399566657008,0.4467496542185339,0.007735653809236798,0.09949363082522351,0.867
Twitter-RoBERTa-Irony,Completeness,0.1,10,45,0.7353333333333333,0.6432756104749376,0.462059620596206,0.742,0.6443459273473169,0.4579831932773109,-0.00107031687237924,0.09929583036632644,0.8736666666666667
Twitter-RoBERTa-Irony,Completeness,0.1,10,46,0.7353333333333333,0.6432756104749376,0.462059620596206,0.7323333333333333,0.6350331235089421,0.44658855961405924,0.008242486965995499,0.10010681224780442,0.87
Twitter-RoBERTa-Irony,Completeness,0.2,20,42,0.7353333333333333,0.6432756104749376,0.462059620596206,0.732,0.6173758327469179,0.40795287187039764,0.02589977772801977,0.19975868344014558,0.9513333333333334
